ts	phase	decision	why	evidence	result
2026-08-19T22:40:01Z	product	preserve the electronic and printable checkoff process	the existing checkoff process is useful to both the builder and the customer	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-0-product-decisions.md	accepted
2026-08-19T22:40:02Z	product	treat missing-only production as a core operation	users need to prepare only required units that have not been completed or assigned to active work	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-19T22:40:03Z	product	preserve required-unit identity through export and printer tracking	printer APIs must relate active work and metrics back to the planned physical part	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-19T22:45:00Z	review	supersede the evidence for product decisions in rows 11 through 14	the discussion record preserves the user input that led to those decisions	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	corrected
2026-08-19T22:45:01Z	review	verify all four prototype tasks	the farm-overview task was added after the first verification wording	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-0-product-decisions.md	open
2026-08-19T23:05:00Z	language	use Build as the canonical top-level product term	Build names the physical result for both an individual and a farm operator	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-19T23:20:00Z	language	use Object name for the named model object inside a 3MF	the user confirmed that OBJ meant the name carried through slicing and printer APIs	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-19T23:20:01Z	tracking	preserve and test the existing object-name tracking contract	printer APIs expose filenames and object names rather than arbitrary hidden PrintPartner metadata	docs/superpowers/plans/2026-08-19-printpartner-stabilization/3mf-object-tracking.md	accepted
2026-08-19T23:20:02Z	tracking	describe current tracking as plate and job level	current adapters do not expose which object is under the nozzle	docs/superpowers/plans/2026-08-19-printpartner-stabilization/3mf-object-tracking.md	accepted
2026-08-19T23:25:00Z	review	supersede the evidence for Object name in row 18	the discussion record now identifies the accepted facts as user decisions from the August 19 conversation	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	corrected
2026-08-19T23:25:01Z	review	supersede the evidence for preserving names in row 19	the user asked to maintain 3MF object names and the research note explains the current mechanism	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/3mf-object-tracking.md	corrected
2026-08-19T23:25:02Z	tracking	surface duplicate-basename ambiguity instead of claiming an exact mapping	current name matching cannot distinguish equal basenames from different sources	docs/superpowers/plans/2026-08-19-printpartner-stabilization/3mf-object-tracking.md	open
2026-08-19T23:25:03Z	tracking	leave matched-name history as an open design choice	current links persist resolved units but discard matched labels	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	open
2026-08-19T23:40:00Z	ui	include a UI revamp and component audit in the stabilization plan	the user asked to revise the overall site and keep modules and components current	docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	accepted
2026-08-19T23:40:01Z	ui	prototype the workflow before migrating production pages	the site structure and information density remain product decisions	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-0-product-decisions.md	open
2026-08-19T23:40:02Z	dependencies	keep the current dependency set as the planning baseline	registry comparison reported no outdated workspace packages on August 19 2026	web/apps/web/package.json, web/package.json	verified
2026-08-19T23:40:03Z	review	supersede the dependency evidence in row 26	the UI discussion records the registry command and result	docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	corrected
2026-08-19T23:45:00Z	review	correct the dependency baseline evidence	the package files show declared versions and the UI discussion records the registry comparison	docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	verified
2026-08-19T23:45:01Z	review	disregard the row number in the prior dependency correction	the correction applies to the dependency baseline decision regardless of its displayed row number	docs/superpowers/plans/2026-08-19-printpartner-stabilization/decisions.tsv	corrected
2026-08-19T23:55:00Z	ui	allow a full theme rebase	the user is open to new or different theming	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	accepted
2026-08-19T23:59:00Z	workflow	include STL naming inference inside Plan	the existing parser turns selected STL paths into quantities and filament roles used by checkoff and export	docs/superpowers/plans/2026-08-19-printpartner-stabilization/stl-naming-rules.md	accepted
2026-08-20T00:01:00Z	ui	rework the current Parts behavior into Plan	the current page has useful previews grouping quantity controls and warnings but the proposed selection and exception flow fits the product better	docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	accepted
2026-08-20T00:03:00Z	workflow	keep Plan edits in an autosaved draft until the user applies them	Checkoff must not change while the user is still revising sources selections or quantities	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:05:00Z	production	keep every Print batch and Plate within one Build	separate Build ownership keeps Checkoff tracking failures reprints and customer work clear while the farm runs several Builds at once	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:07:00Z	production	allow only one active Plate to claim a required unit	this prevents duplicate work while Printer jobs are assigned printing or awaiting verification	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:08:00Z	terminology	retire Print batch and assign required units directly to Plates	Batch can mean repeated copies of one part and has already been used ambiguously for a Plate	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	corrected
2026-08-20T00:00:31Z	slicing	export each grouped Plate as a 3MF for local download or opening	the user wants PrintPartner to prepare the grouped parts while keeping slicer and profile choices on their computer	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:00:31Z	slicing	do not assign slicer applications or slicer profiles to printers	machine filament and process profiles remain choices inside the user's slicer and Docker slicing is deferred	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T00:03:53Z	export	offer one ZIP containing all selected STL files for the Build	the STL bundle supports manual arranging sharing and archival alongside Plate 3MF export	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:06:31Z	export	write one STL per required unit under role source and relative path	the ZIP must preserve inferred quantity source identity and unit naming outside PrintPartner	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:11:38Z	printer	define a Printer by name model and build size	these are the physical planning properties needed before Plate arrangement	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:11:38Z	production	let the user allocate required units or visible groups to Printers	printer choice belongs to the user and grouping is only a selection shortcut	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:11:38Z	production	allocate units to Printers before arranging Plates	PrintPartner needs the chosen Printer's build size before it can determine Plate count and layout	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T00:11:38Z	production	allow the user to skip PrintPartner arrangement	direct export remains available when the user wants to arrange files elsewhere	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:21:13Z	arrangement	preserve the source STL's authored Print face	the designer's build-axis orientation can determine layer adhesion and part strength	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:26:35Z	arrangement	use Plater only as a behavior reference	a third-party package binary service or source dependency is not acceptable for this core workflow	docs/superpowers/plans/2026-08-19-printpartner-stabilization/plater-research.md	accepted
2026-08-20T00:26:35Z	arrangement	build a PrintPartner-owned footprint arranger	the product needs direct control of unit identity orientation placement tests and 3MF output	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T00:38:00Z	ui	make the Plate workspace an in-page interactive editor	the user needs to inspect and manually arrange the automatic result before export	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T00:38:01Z	arrangement	persist exact Plate placements and export them without repacking	the exported 3MF must match the layout the user inspected and approved	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T00:38:02Z	ui	use top-down editing with a separate 3D inspection mode	top-down editing supports accurate placement while 3D inspection preserves visual confidence without mixing camera and drag controls	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:42:00Z	arrangement	allow translation only during Plate arrangement	the user wants PrintPartner to preserve the exact source orientation and leave every rotation choice to the slicer	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:42:01Z	review	supersede earlier Plate-editor requirements for Z rotation	the accepted workflow has no automatic or manual rotation inside PrintPartner	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/plater-research.md	corrected
2026-08-20T00:57:00Z	filament	separate filament role Planned filament Physical spool Loaded filament and slicer profile	each concept belongs to a different planning inventory printer-state or slicing decision	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:57:01Z	production	allow one Planned filament per Plate in the first workflow	this prevents accidental mixed-material work without pulling slicer slot mapping into PrintPartner	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T00:57:02Z	printer	use Loaded filament for readiness warnings only	the user's Printer allocation remains authoritative even when the loaded material does not match	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T00:57:03Z	printer	separate the physical Printer from its optional Printer connection	planning and local 3MF export do not require a vendor API connection	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T00:57:04Z	slicing	keep slicer filament profiles outside the local handoff workflow	the user selects machine filament and process profiles in the installed slicer	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T01:02:00Z	printer	create a physical Printer before an optional Printer connection	planning and local export must work without vendor API credentials	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:02:01Z	printer	create Printers from a preset or Custom values	the preset can speed setup while the Printer retains editable model and build-size values of its own	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T01:02:02Z	slicing	do not bind a Printer preset to a slicer machine profile	Printer identity and build size belong to planning while the user chooses the slicer profile locally	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:06:00Z	filament	do not manage filament when Spoolman is absent	the user handles material color printer loading and profiles during assignment and in the slicer	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:06:01Z	filament	use Spoolman as the only optional filament-management path	an existing inventory connection can provide spool selection tracking and usage deduction without a second filament model	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T01:06:02Z	review	supersede Planned filament Loaded filament and one-filament-per-Plate decisions	the accepted workflow leaves filament decisions to the user and slicer unless Spoolman is connected	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	corrected
2026-08-20T01:12:00Z	tracking	make direct slicer sending and passive Printer detection the normal path	the user can keep the installed slicer's native send workflow while PrintPartner tracks the resulting Printer job	docs/superpowers/plans/2026-08-19-printpartner-stabilization/3mf-object-tracking.md	accepted
2026-08-20T01:12:01Z	tracking	propose Printer job matches from stable Plate filenames and Object names	the existing cross-system names can associate detected work without making PrintPartner the sender	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:12:02Z	printer	offer only actions reported by the Printer connection	Moonraker PrusaLink and Bambu do not provide the same upload status object-name and ETA capabilities	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T01:12:03Z	safety	never move sliced files between Printers automatically	matching build dimensions do not prove that machine-specific sliced output is compatible	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:12:04Z	tracking	keep completion at Awaiting verification	a Printer API reporting completion does not prove that every physical part succeeded	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-9-production-workspace.md	accepted
2026-08-20T01:18:00Z	ui	use Builds Production Printers and Settings as global navigation	these four sections cover planning cross-Build operations physical machines and configuration without a separate farm mode	docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	accepted
2026-08-20T01:18:01Z	ui	use Sources Plan Checkoff and Production inside each Build	these destinations follow the accepted Build workflow without preserving legacy page boundaries	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-8-site-structure.md	accepted
2026-08-20T01:18:02Z	ui	absorb Parts into Plan and Export into Production	the useful behaviors remain while each destination owns one coherent user job	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:18:03Z	ui	use global Production as the cross-Build operations view	individuals and farm operators use the same model while farms see more concurrent work	docs/superpowers/plans/2026-08-19-printpartner-stabilization/overview.md	accepted
2026-08-20T01:23:00Z	ui	use a calm Build workspace and denser Production layout	planning needs room for comprehension while active Printer work needs more concurrent status on screen	docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	accepted
2026-08-20T01:23:01Z	ui	use one component and theme system across both densities	the farm workflow differs by amount of work rather than by a separate interface	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-8-site-structure.md	accepted
2026-08-20T01:23:02Z	ui	keep a dedicated printable Checkoff layout	paper output has different constraints and must remain clear after the interactive theme changes	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:28:00Z	ui	make Builds the list-first landing section	one responsive list supports an individual and a farm operator without separate dashboard modes	docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	accepted
2026-08-20T01:28:01Z	ui	ask only for a name when creating a Build	the user can begin by adding Sources without completing unrelated setup fields	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-8-site-structure.md	accepted
2026-08-20T01:28:02Z	ui	open new Builds in Sources and existing Builds in Plan	new work needs inputs while returning work centers on its accepted requirements	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:28:03Z	workflow	archive Builds instead of routinely deleting them	Plan Checkoff Plate and Printer job history must survive removal from active work	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-8-site-structure.md	accepted
2026-08-20T14:00:00Z	architecture	make current_source_revision_id the authoritative active Source revision	Phase 3 needs durable revision identity and mutable path and commit strings cannot prove it	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-2-atomic-source-sync-architecture.md	accepted
2026-08-20T14:00:01Z	storage	publish GitHub Source snapshots through one revision-scoped local filesystem module	the module can keep candidates on the destination filesystem validate every byte and expose one atomic rename boundary	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-2-atomic-source-sync-architecture.md	accepted
2026-08-20T14:00:02Z	storage	keep PDF text caches and the editable PrintPartner manifest outside immutable Source revisions	generated and user-owned writes would otherwise corrupt published snapshot identity	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-2-atomic-source-sync-architecture.md	accepted
2026-08-20T01:48:05Z	sources	defer marketplace API integration to a dedicated feasibility project	manual imports keep the Source Library reliable while provider authentication terms and endpoint stability are investigated	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/marketplace-api-feasibility.md	accepted
2026-08-20T01:55:00Z	sources	place the reusable Source Library under Builds	Build work stays focused while users retain one shared place for Sources updates and discovery	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T01:55:01Z	sources	separate a Source from its Build Source attachment	the Source is reusable while each Build needs its own pinned revision file selections and naming overrides	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/source-monitoring-research.md	accepted
2026-08-20T02:00:00Z	planning	start newly attached Sources with no required parts selected	large and documentation-only Sources must not silently add unrelated requirements to a Build	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:00:01Z	planning	make Plan the owner of file selection and naming review	Sources manages reusable inputs while Plan defines the parts and quantities required by this Build	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:04:00Z	planning	make directory selection a durable Build Source rule	the Build should notice new files in an intentionally selected directory without silently changing its accepted Plan	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:04:01Z	planning	let explicit file exclusions override directory inclusion	users need to select useful repository sections without accepting every file inside them	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:08:00Z	planning	make filtered and naming-group bulk selection apply to the current result set	filters and inferred groups can change and should not become hidden future-selection rules	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:08:01Z	planning	preserve manual role and quantity overrides across exact renames	the user's Build-specific intent should survive a path-only Source change	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:12:00Z	checkoff	preserve completed Required units across unchanged files exact renames and quantity changes	applying a Plan revision must not erase work that still satisfies the Build	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:12:01Z	checkoff	require a keep-or-reprint choice for changed content or filament role	PrintPartner cannot infer whether an older physical print remains suitable	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:12:02Z	history	retain work removed from the current requirement in prior Plan and production history	current Checkoff should stay accurate without deleting the record of completed printing	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:16:00Z	checkoff	preserve the current Checkoff interaction as the base	the electronic and paper checklist already handles the product's key physical verification job well	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:16:01Z	checkoff	show only the accepted Plan in Checkoff	an unapplied draft must not alter the active physical requirements	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:16:02Z	production	enter Production through Prepare missing parts	Printer allocation and Plate work belong after planning and outside the checklist	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:20:00Z	production	select all Missing Required units when Prepare missing parts opens	preparing the remaining Build is the common case while visible group controls let the user narrow it	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:20:01Z	export	offer unarranged named-object 3MF and STL bundle ZIP as Direct export	the user can arrange in a slicer or use raw files without creating PrintPartner Plates	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:20:02Z	tracking	classify Direct export as manual tracking	a slicer can split or rearrange work without a saved PrintPartner Plate and some Printer APIs do not report Object names	docs/superpowers/plans/2026-08-19-printpartner-stabilization/3mf-object-tracking.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:24:00Z	production	allocate Required units through Unassigned and user-chosen Printer columns	the user stays in control while individual copies and visible groups remain quick to assign	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:24:01Z	arrangement	leave incompatible units Unassigned during bulk Printer allocation	partial success is useful but every skipped unit must remain visible and must not move to another Printer automatically	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:24:02Z	printer	keep filament and slicer profiles out of Printer allocation	the user handles those choices in the slicer unless optional Spoolman tracking applies	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:28:00Z	tracking	give each exported Plate a stable identity and immutable layout revision	an older downloaded 3MF must remain distinguishable from a later rearrangement	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:28:01Z	export	put the Build Plate and Plate revision in every 3MF filename	printer-job matching needs a readable exact export identity while Object names identify the units inside it	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:28:02Z	production	lock a Plate revision after Printer job matching	active or completed production history must not mutate beneath its tracked Printer job	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:32:00Z	tracking	auto-match only an exact unique Plate revision filename	strong export identity supports useful automation while Undo protects against the wrong observed job	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:32:01Z	tracking	require confirmation for Object-only or ambiguous Printer job matches	object reporting and slicer filename behavior differ across Printer connections	docs/superpowers/plans/2026-08-19-printpartner-stabilization/3mf-object-tracking.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:32:02Z	production	give unconnected Printers a manual Printer job lifecycle	planning export history and verification must work without a vendor API	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:36:00Z	verification	allow partial physical success at Required unit level	a finished Printer job does not prove that every object on its Plate printed successfully	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:36:01Z	metrics	capture Printer job and Plate facts without inventing per-part duration	a multi-object Plate supplies one measured duration and false precision would mislead future decisions	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:36:02Z	metrics	keep initial reporting to operational Printer and job measures	collecting trustworthy history now supports later recommendations without expanding the first workflow into analytics software	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:40:00Z	ui	organize global Production as Live Queue and History	active attention queued Plates and immutable results have different actions but belong to one cross-Build workspace	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:40:01Z	ui	use compact Printer rows instead of large farm cards	a dense table scales to many Printers and still reads clearly for an individual user	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:40:02Z	production	keep Plate editing inside its Build	global Production can coordinate work without mixing parts from separate Builds or duplicating the editor	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:44:00Z	printer	give each physical Printer a detail view separate from its optional connection	identity build dimensions health capabilities and history need clear ownership without requiring an API	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:44:01Z	arrangement	revalidate draft Plates after a Printer build-size change	future layouts must use the edited dimensions while immutable production history keeps its recorded dimensions	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:44:02Z	printer	archive Printers that have production history	removed physical machines should leave new allocation without erasing tracked Printer jobs	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:48:00Z	ui	split Settings into General Sources Connections Notifications Account Data and system and Experimental	the current long mixed page hides ownership and combines unrelated application integration and recovery controls	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:48:01Z	settings	remove custom filaments auto recompute auto Source application and normal slicer assignment	these modules conflict with the accepted Plan review local slicer and Spoolman-only filament workflow	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:48:02Z	checkoff	make assembly tracking an optional per-Build setting	physical installation can help a complex Build but should not add a global second completion state to every checklist	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:52:00Z	ui	allow a complete Checkoff visual and component redesign	the user values its capability and view of required work but does not require the current styling or structure	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/ui-revamp-discussion.md	corrected
2026-08-20T02:52:01Z	export	provide browser print PDF CSV and Excel Checkoff outputs	builders farm operators and customers need both paper handoffs and structured external records	CONTEXT.md, docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:56:00Z	export	offer current-progress and blank Print and PDF checklists	one output records current state while the other supports a fresh physical handoff	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:56:01Z	export	use one Required unit per CSV row and Parts plus Units Excel worksheets	structured exports must preserve copy-level traceability while also giving readers a compact summary	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:56:02Z	export	keep Checkoff spreadsheet export one-way in the first version	PrintPartner must remain the completion authority until an import reconciliation workflow is designed	docs/superpowers/plans/2026-08-19-printpartner-stabilization/discussion-notes.md	accepted
2026-08-20T02:25:00Z	cleanup	separate remove-now code from migration-coupled code	most legacy-marked modules still serve the shipped workflow compatibility clients or installed databases	docs/superpowers/plans/2026-08-19-printpartner-stabilization/cleanup-manifest.md	accepted
2026-08-20T02:25:01Z	cleanup	preserve historical database migrations and compatibility readers	installed self-hosted databases need a versioned upgrade path	docs/superpowers/plans/2026-08-19-printpartner-stabilization/cleanup-manifest.md	accepted
